vehicle_id,timestamp,speed_kmh,battery_pct,motor_temp_c,lat,lon,fault_code
FP-0015,2026-06-11T06:00:10.000Z,0.0,77.74,23.9,-37.80807,144.973361,
FP-0016,2026-06-11T06:00:10.000Z,0.0,98.69,23.3,-37.8768,145.005183,
FP-0017,2026-06-11T06:00:10.000Z,0.0,91.92,14.5,-37.749278,144.905952,
FP-0018,2026-06-11T06:00:10.000Z,0.0,70.11,20.9,-37.764802,144.971994,
FP-0019,2026-06-11T06:00:10.000Z,0.0,99.33,32.2,-37.829835,144.998516,
FP-0020,2026-06-11T06:00:10.000Z,0.0,90.2,30.8,-37.867827,144.910013,
FP-0021,2026-06-11T06:00:10.000Z,0.0,77.27,30.2,-37.851171,144.980237,
FP-0022,2026-06-11T06:00:10.000Z,0.0,96.34,24.1,-37.776979,144.903949,
FP-0022,2026-06-11T06:00:10.000Z,0.0,96.34,24.1,-37.776979,144.903949,
FP-0023,2026-06-11T06:00:10.000Z,0.0,98.87,24.7,-37.817791,145.000564,
FP-0023,2026-06-11T06:00:10.000Z,0.0,98.87,24.7,-37.817791,145.000564,
FP-0024,2026-06-11T06:00:10.000Z,0.0,96.33,21.3,-37.831053,144.893009,
FP-0025,2026-06-11T06:00:10.000Z,0.0,98.37,28.0,-37.767514,145.051779,
FP-0026,2026-06-11T06:00:10.000Z,0.0,81.0,22.5,-37.863741,144.990917,
FP-0027,2026-06-11T06:00:10.000Z,0.0,80.3,26.3,-37.846212,145.044603,
FP-0028,2026-06-11T06:00:10.000Z,0.0,85.11,20.6,-37.803772,144.981956,
FP-0029,2026-06-11T06:00:10.000Z,0.0,88.53,15.4,-37.860474,145.052346,
FP-0030,2026-06-11T06:00:10.000Z,0.0,75.89,24.7,-37.815079,145.014458,
FP-0031,2026-06-11T06:00:10.000Z,0.0,89.6,23.3,-37.822445,145.006104,
FP-0032,2026-06-11T06:00:10.000Z,0.0,90.3,16.8,-37.825192,144.911773,
FP-0033,2026-06-11T06:00:10.000Z,0.0,86.15,20.9,-37.763772,145.000546,
FP-0034,2026-06-11T06:00:10.000Z,0.0,79.18,31.0,-37.86047,145.003951,
FP-0035,2026-06-11T06:00:10.000Z,0.0,99.84,16.4,-37.858525,144.92995,
FP-0036,2026-06-11T06:00:10.000Z,0.0,82.05,31.6,-37.753243,144.904252,
FP-0037,2026-06-11T06:00:10.000Z,0.0,76.32,18.7,-37.761894,145.02371,
FP-0038,2026-06-11T06:00:10.000Z,0.0,93.61,32.2,-37.809659,145.020648,
FP-0039,2026-06-11T06:00:10.000Z,0.0,92.87,190.2,-37.841117,145.038332,
FP-0040,2026-06-11T06:00:10.000Z,,,27.0,-37.817997,144.916073,
FP-0041,2026-06-11T06:00:10.000Z,0.0,91.16,22.4,-37.792348,144.979709,
FP-0042,2026-06-11T06:00:10.000Z,0.0,71.66,25.4,-37.75531,144.967473,
FP-0043,2026-06-11T06:00:10.000Z,0.0,95.79,23.7,-37.797345,144.977341,
FP-0044,2026-06-11T06:00:10.000Z,0.0,81.91,21.4,-37.811396,144.985023,
FP-0045,2026-06-11T06:00:10.000Z,0.0,95.62,21.9,-37.763822,145.011784,
FP-0046,2026-06-11T06:00:10.000Z,0.0,98.84,30.2,-37.785397,145.013907,
FP-0047,2026-06-11T06:00:10.000Z,0.0,97.26,21.7,-37.835916,145.002083,
FP-0048,2026-06-11T06:00:10.000Z,0.0,95.63,18.5,-37.867784,145.006125,
FP-0049,2026-06-11T06:00:10.000Z,0.0,99.06,26.7,-37.860476,144.99972,
FP-0050,2026-06-11T06:00:10.000Z,0.0,77.22,30.5,-37.784213,144.888438,
FP-0001,2026-06-11T06:00:15.000Z,0.0,81.98,24.2,-37.867411,144.96176,
FP-0002,2026-06-11T06:00:15.000Z,0.0,72.88,15.3,-37.882444,144.943567,
FP-0003,2026-06-11T06:00:15.000Z,0.0,73.3,24.4,-37.871512,144.925176,
FP-0004,2026-06-11T06:00:15.000Z,0.0,78.8,25.9,-37.870522,144.929063,
FP-0005,2026-06-11T06:00:15.000Z,0.0,91.78,19.5,-37.800937,144.952852,
FP-0006,2026-06-11T06:00:15.000Z,0.0,84.77,18.5,-37.768647,144.899362,
FP-0007,2026-06-11T06:00:15.000Z,0.0,89.99,27.2,-37.758818,144.899148,
FP-0008,2026-06-11T06:00:15.000Z,0.0,99.8,27.0,-37.795212,144.953835,
FP-0009,2026-06-11T06:00:15.000Z,0.0,85.42,25.3,-37.868661,144.969996,
FP-0010,2026-06-11T06:00:15.000Z,0.0,95.96,26.9,-37.749125,144.895868,
FP-0011,2026-06-11T06:00:15.000Z,0.0,92.25,25.5,-37.862719,144.919102,
FP-0012,2026-06-11T06:00:15.000Z,0.0,98.32,32.4,-37.786538,144.974784,
FP-0013,2026-06-11T06:00:15.000Z,0.0,85.91,21.4,-37.816601,144.901832,
FP-0014,2026-06-11T06:00:15.000Z,0.0,86.27,20.2,-37.768878,144.911378,
FP-0015,2026-06-11T06:00:15.000Z,0.0,77.74,23.9,-37.80807,144.973361,
FP-0016,2026-06-11T06:00:15.000Z,0.0,98.69,23.3,-37.8768,145.005183,
FP-0017,2026-06-11T06:00:15.000Z,0.0,91.92,14.5,-37.749278,144.905952,
FP-0018,2026-06-11T06:00:15.000Z,0.0,70.11,20.9,-37.764802,144.971994,
FP-0019,2026-06-11T06:00:15.000Z,0.0,99.33,32.1,-37.829835,144.998516,
FP-0020,2026-06-11T06:00:15.000Z,0.0,90.2,30.7,-37.867827,144.910013,
FP-0021,2026-06-11T06:00:15.000Z,0.0,77.27,30.1,-37.851171,144.980237,
FP-0022,2026-06-11T06:00:15.000Z,0.0,96.34,24.0,-37.776979,144.903949,
FP-0023,2026-06-11T06:00:15.000Z,0.0,98.87,24.7,-37.817791,145.000564,
FP-0024,2026-06-11T06:00:15.000Z,0.0,96.33,21.2,-37.831053,144.893009,
FP-0025,2026-06-11T06:00:15.000Z,0.0,98.37,28.0,-37.767514,145.051779,
FP-0026,2026-06-11T06:00:15.000Z,0.0,81.0,22.4,-37.863741,144.990917,
FP-0027,2026-06-11T06:00:15.000Z,0.0,80.3,26.2,-37.846212,145.044603,
FP-0028,2026-06-11T06:00:15.000Z,0.0,85.11,20.6,-37.803772,144.981956,
FP-0029,2026-06-11T06:00:15.000Z,0.0,88.53,15.4,-37.860474,145.052346,
FP-0029,2026-06-11T06:00:15.000Z,0.0,88.53,15.4,-37.860474,145.052346,
FP-0030,2026-06-11T06:00:15.000Z,0.0,75.89,24.6,-37.815079,145.014458,
FP-0031,2026-06-11T06:00:15.000Z,0.0,89.6,23.2,-37.822445,145.006104,
FP-0032,2026-06-11T06:00:15.000Z,0.0,90.3,16.8,-37.825192,144.911773,
FP-0033,2026-06-11T06:00:15.000Z,0.0,86.15,20.9,-37.763772,145.000546,
FP-0034,2026-06-11T06:00:15.000Z,0.0,79.18,30.9,-37.86047,145.003951,
FP-0035,2026-06-11T06:00:15.000Z,0.0,99.84,16.3,-37.858525,144.92995,
FP-0036,2026-06-11T06:00:15.000Z,0.0,82.05,31.5,-37.753243,144.904252,
FP-0037,2026-06-11T06:00:15.000Z,0.0,76.32,18.6,-37.761894,145.02371,
FP-0038,2026-06-11T06:00:15.000Z,0.0,93.61,32.1,-37.809659,145.020648,
FP-0039,2026-06-11T06:00:15.000Z,0.0,92.87,27.7,-37.841117,145.038332,
FP-0040,2026-06-11T06:00:15.000Z,0.0,77.46,26.9,-37.817997,144.916073,
FP-0041,2026-06-11T06:00:15.000Z,0.0,91.16,22.3,-37.792348,144.979709,
FP-0041,2026-06-11T06:00:15.000Z,0.0,91.16,22.3,-37.792348,144.979709,
FP-0042,2026-06-11T06:00:15.000Z,0.0,71.66,25.4,-37.75531,144.967473,
FP-0043,2026-06-11T06:00:15.000Z,0.0,95.79,23.6,-37.797345,144.977341,
FP-0044,2026-06-11T06:00:15.000Z,0.0,81.91,21.3,-37.811396,144.985023,
FP-0045,2026-06-11T06:00:15.000Z,0.0,95.61,21.8,-37.763822,145.011784,
FP-0046,2026-06-11T06:00:15.000Z,0.0,98.84,30.1,-37.785397,145.013907,
FP-0047,2026-06-11T06:00:15.000Z,0.0,97.26,21.6,-37.835916,145.002083,
FP-0048,2026-06-11T06:00:15.000Z,0.0,95.63,18.5,-37.867784,145.006125,
FP-0049,2026-06-11T06:00:15.000Z,0.0,99.06,26.6,-37.860476,144.99972,
FP-0050,2026-06-11T06:00:15.000Z,0.0,77.22,,-37.784213,,
FP-0001,2026-06-11T06:00:20.000Z,0.0,81.98,24.1,-37.867411,144.96176,
FP-0002,2026-06-11T06:00:20.000Z,0.0,72.88,15.3,-37.882444,144.943567,
FP-0003,2026-06-11T06:00:20.000Z,0.0,73.3,24.3,-37.871512,144.925176,
FP-0004,2026-06-11T06:00:20.000Z,0.0,78.8,25.8,-37.870522,144.929063,
FP-0005,2026-06-11T06:00:20.000Z,0.0,91.78,19.4,-37.800937,144.952852,
FP-0006,2026-06-11T06:00:20.000Z,,84.77,,-37.768647,144.899362,
FP-0007,2026-06-11T06:00:20.000Z,0.0,89.99,27.1,-37.758818,144.899148,
FP-0008,2026-06-11T06:00:20.000Z,0.0,,26.9,-37.795212,144.953835,
FP-0009,2026-06-11T06:00:20.000Z,0.0,85.42,25.2,-37.868661,144.969996,
FP-0010,2026-06-11T06:00:20.000Z,0.0,95.96,26.8,-37.749125,144.895868,
FP-0011,2026-06-11T06:00:20.000Z,0.0,92.25,25.4,-37.862719,144.919102,
FP-0012,2026-06-11T06:00:20.000Z,0.0,131.95,32.3,-37.786538,144.974784,
FP-0013,2026-06-11T06:00:20.000Z,0.0,85.91,21.4,-37.816601,144.901832,
FP-0014,2026-06-11T06:00:20.000Z,0.0,86.27,20.1,-37.768878,144.911378,
FP-0015,2026-06-11T06:00:20.000Z,0.0,77.74,23.8,-37.80807,144.973361,
FP-0016,2026-06-11T06:00:20.000Z,0.0,98.69,23.2,-37.8768,145.005183,
FP-0017,2026-06-11T06:00:20.000Z,0.0,91.92,14.5,-37.749278,144.905952,
FP-0018,2026-06-11T06:00:20.000Z,0.0,70.11,20.8,-37.764802,144.971994,
FP-0019,2026-06-11T06:00:20.000Z,0.0,99.33,32.0,-37.829835,,
FP-0020,2026-06-11T06:00:20.000Z,0.0,90.2,30.6,-37.867827,144.910013,
FP-0021,2026-06-11T06:00:20.000Z,0.0,77.27,30.0,-37.851171,144.980237,
FP-0022,2026-06-11T06:00:20.000Z,0.0,96.34,23.9,-37.776979,144.903949,
FP-0023,2026-06-11T06:00:20.000Z,0.0,98.87,24.6,-37.817791,145.000564,
FP-0024,2026-06-11T06:00:20.000Z,0.0,96.33,21.2,-37.831053,144.893009,
FP-0025,2026-06-11T06:00:20.000Z,0.0,98.37,27.9,-37.767514,145.051779,
FP-0025,2026-06-11T06:00:20.000Z,0.0,98.37,27.9,-37.767514,145.051779,
FP-0026,2026-06-11T06:00:20.000Z,0.0,81.0,22.3,-37.863741,144.990917,
FP-0027,2026-06-11T06:00:20.000Z,0.0,80.3,26.1,-37.846212,145.044603,
FP-0028,2026-06-11T06:00:20.000Z,0.0,85.11,20.5,-37.803772,144.981956,
FP-0029,2026-06-11T06:00:20.000Z,0.0,88.53,15.4,-37.860474,145.052346,
FP-0030,2026-06-11T06:00:20.000Z,##,75.89,24.5,-37.815079,145.014458,
FP-0031,2026-06-11T06:00:20.000Z,0.0,89.6,23.1,-37.822445,145.006104,
FP-0032,2026-06-11T06:00:20.000Z,0.0,90.3,16.8,-37.825192,144.911773,
FP-0033,2026-06-11T06:00:20.000Z,,86.15,20.8,-37.763772,,
FP-0034,2026-06-11T06:00:20.000Z,0.0,79.18,30.8,-37.86047,145.003951,
FP-0035,2026-06-11T06:00:20.000Z,0.0,,16.3,-37.858525,,
FP-0036,2026-06-11T06:00:20.000Z,0.0,82.05,31.4,-37.753243,144.904252,
FP-0037,2026-06-11T06:00:20.000Z,0.0,76.32,18.6,-37.761894,145.02371,
FP-0038,2026-06-11T06:00:20.000Z,0.0,93.61,32.0,-37.809659,145.020648,
FP-0039,2026-06-11T06:00:20.000Z,0.0,92.87,27.7,-37.841117,145.038332,
FP-0040,2026-06-11T06:00:20.000Z,0.0,77.46,26.8,-37.817997,144.916073,
FP-0041,2026-06-11T06:00:20.000Z,0.0,91.16,22.2,-37.792348,144.979709,
FP-0042,2026-06-11T06:00:20.000Z,0.0,71.66,25.3,-37.75531,144.967473,
FP-0043,2026-06-11T06:00:20.000Z,0.0,,23.5,,144.977341,
FP-0044,2026-06-11T06:00:20.000Z,0.0,81.91,21.3,-37.811396,144.985023,
FP-0045,2026-06-11T06:00:20.000Z,0.0,95.61,21.8,-37.763822,145.011784,
FP-0046,2026-06-11T06:00:20.000Z,0.0,98.84,30.0,-37.785397,145.013907,
FP-0047,2026-06-11T06:00:20.000Z,0.0,97.26,21.6,-37.835916,145.002083,
FP-0048,2026-06-11T06:00:20.000Z,-10.5,95.63,18.4,-37.867784,145.006125,
FP-0049,2026-06-11T06:00:20.000Z,0.0,99.06,26.5,-37.860476,144.99972,
FP-0050,2026-06-11T06:00:20.000Z,0.0,77.22,30.3,-37.784213,144.888438,
FP-0001,2026-06-11T06:00:25.000Z,0.0,81.97,24.0,-37.867411,144.96176,
FP-0002,2026-06-11T06:00:25.000Z,0.0,72.88,15.3,-37.882444,144.943567,
FP-0003,2026-06-11T06:00:25.000Z,0.0,73.3,24.2,-37.871512,144.925176,
FP-0004,2026-06-11T06:00:25.000Z,0.0,78.8,25.8,-37.870522,144.929063,
FP-0005,2026-06-11T06:00:25.000Z,0.0,91.78,19.4,-37.800937,144.952852,
FP-0006,2026-06-11T06:00:25.000Z,0.0,84.77,18.3,-37.768647,144.899362,
FP-0007,2026-06-11T06:00:25.000Z,0.0,89.99,27.1,-37.758818,144.899148,
FP-0008,2026-06-11T06:00:25.000Z,0.0,99.8,26.9,-37.795212,144.953835,
FP-0009,2026-06-11T06:00:25.000Z,0.0,85.42,25.1,-37.868661,144.969996,
FP-0010,2026-06-11T06:00:25.000Z,0.0,95.96,26.7,-37.749125,144.895868,
FP-0011,2026-06-11T06:00:25.000Z,0.0,92.25,237.6,-37.862719,144.919102,
FP-0012,2026-06-11T06:00:25.000Z,0.0,98.31,32.2,-37.786538,144.974784,
FP-0013,2026-06-11T06:00:25.000Z,0.0,85.91,21.3,-37.816601,144.901832,
FP-0014,2026-06-11T06:00:25.000Z,0.0,86.27,20.1,-37.768878,144.911378,
FP-0015,2026-06-11T06:00:25.000Z,0.0,77.73,23.7,-37.80807,144.973361,
FP-0016,2026-06-11T06:00:25.000Z,0.0,98.69,23.2,-37.8768,145.005183,
FP-0017,2026-06-11T06:00:25.000Z,0.0,91.92,14.5,-37.749278,144.905952,
FP-0018,2026-06-11T06:00:25.000Z,0.0,70.11,20.8,-37.764802,144.971994,
FP-0019,2026-06-11T06:00:25.000Z,0.0,99.33,32.0,-37.829835,144.998516,
FP-0020,2026-06-11T06:00:25.000Z,0.0,90.2,30.5,-37.867827,144.910013,
FP-0021,2026-06-11T06:00:25.000Z,0.0,77.27,29.9,-37.851171,144.980237,
FP-0022,2026-06-11T06:00:25.000Z,0.0,96.34,23.8,-37.776979,144.903949,
FP-0023,2026-06-11T06:00:25.000Z,0.0,98.87,24.6,-37.817791,145.000564,
FP-0024,2026-06-11T06:00:25.000Z,0.0,96.33,21.2,-37.831053,144.893009,
FP-0025,2026-06-11T06:00:25.000Z,0.0,98.36,27.9,-37.767514,145.051779,
FP-0026,2026-06-11T06:00:25.000Z,0.0,81.0,22.2,-37.863741,144.990917,
FP-0027,2026-06-11T06:00:25.000Z,,,26.1,-37.846212,145.044603,
FP-0028,2026-06-11T06:00:25.000Z,0.0,85.11,20.5,-37.803772,144.981956,
FP-0029,2026-06-11T06:00:25.000Z,0.0,88.52,15.3,-37.860474,145.052346,
FP-0030,2026-06-11T06:00:25.000Z,0.0,75.89,24.4,-37.815079,145.014458,
FP-0031,2026-06-11T06:00:25.000Z,0.0,89.6,198.3,-37.822445,145.006104,
FP-0032,2026-06-11T06:00:25.000Z,0.0,90.3,16.7,-37.825192,144.911773,
FP-0033,2026-06-11T06:00:25.000Z,0.0,86.15,20.8,-37.763772,145.000546,
FP-0034,2026-06-11T06:00:25.000Z,0.0,79.18,30.7,-37.86047,,
FP-0035,2026-06-11T06:00:25.000Z,0.0,99.84,16.3,-37.858525,144.92995,
FP-0036,2026-06-11T06:00:25.000Z,0.0,82.05,31.3,-37.753243,144.904252,
FP-0037,2026-06-11T06:00:25.000Z,0.0,76.32,18.6,-37.761894,145.02371,
FP-0038,2026-06-11T06:00:25.000Z,0.0,93.61,31.9,-37.809659,145.020648,
FP-0039,2026-06-11T06:00:25.000Z,0.0,92.87,27.6,-37.841117,145.038332,
FP-0040,2026-06-11T06:00:25.000Z,0.0,77.46,26.7,-37.817997,144.916073,
FP-0041,2026-06-11T06:00:25.000Z,ERR,91.16,22.2,-37.792348,144.979709,
